month,n,approve_rate,bad_rate_approved,psi_score,psi_fico,psi_dti,psi_inq,alert
2015-01,23631,0.8596335322246202,0.12675987004036626,0.0023672866795333447,0.0026659686703729207,0.017092784890931124,0.022560675116469045,OK
2015-02,16023,0.8645696810834426,0.11975745325922182,0.000880834532898749,0.000358146292999712,0.014275931905866861,0.030699953072684256,OK
2015-03,16914,0.863840605415632,0.13051810279926082,0.0012958467154836472,0.0032943477874151127,0.021286001243585494,0.030752027619033128,OK
2015-04,23619,0.8672255387611668,0.13337889957525753,0.0009425812703072106,0.0008894343056989873,0.014207325957003854,0.02526540888714332,OK
2015-05,21539,0.8635034124146896,0.1301682886176676,0.0019505774236863447,0.0005054943032166374,0.014106446999643864,0.03354575555488594,OK
2015-06,19064,0.8667121275702896,0.13302669006838952,0.002620595884282168,0.002128730022082915,0.014490978770389767,0.03715352148193073,OK
2015-07,30864,0.8706907724209435,0.12525583299222268,0.0040777628594019155,0.0040463240695298225,0.023330376233361816,0.0378746990310196,OK
2015-08,23938,0.8754699640738575,0.12072338598081786,0.004789590293066222,0.0030023967605091032,0.008382248340781315,0.04517737617796573,OK
2015-09,18765,0.8689048760991207,0.12713891444342226,0.0071349415362865695,0.007432773562472468,0.01369681037814369,0.03505306261268091,OK
2015-10,33186,0.8813355029229193,0.12212800875273523,0.005377326603908305,0.004824140968971294,0.011549777516748095,0.038431295373215886,OK
2015-11,25242,0.8773868948577768,0.12665372285185353,0.0060088139811313515,0.006821523950967316,0.01641801030444308,0.03086115707796197,OK
2015-12,30241,0.870077047716676,0.13328519306780176,0.00402615075372883,0.004403685779149869,0.01952279294177215,0.02209262568026142,OK
