group,n,share,bad_rate
都通过,225734,0.7975733678177976,0.12375184952200377
Swap in（旧拒新过）,20491,0.07239970886067004,0.1664145234493192
Swap out（旧过新拒）,28248,0.09980708486146149,0.28894080996884736
都拒绝,8553,0.030219838460070807,0.30690985619081024
