approve,single_profit_$M,single_bad_rate,tier_profit_$M,tier_bad_rate
0.7,78.18380861692447,0.09953514530004658,101.84338656916432,0.1206385155020563
0.725,80.41947593211427,0.10158404249000959,101.84338656916432,0.1206385155020563
0.75,82.47574524235289,0.10428371074495395,101.84338656916432,0.1206385155020563
0.775,84.20961503298676,0.10684096483082126,101.84338656916432,0.1206385155020563
0.8,85.8964054737031,0.10954511902565049,101.84338656916432,0.1206385155020563
0.8250000000000001,87.8420582943132,0.11212347151804354,101.84338656916432,0.1206385155020563
0.8500000000000001,89.22792375262345,0.11503502576275111,101.84338656916432,0.1206385155020563
0.8750000000000001,90.34876423905436,0.1180543838929194,101.84338656916432,0.1206385155020563
0.9000000000000001,91.15922220531884,0.12134260113592094,101.84338656916432,0.1206385155020563
0.9250000000000002,92.2534782863107,0.12448712236578732,101.84338656916432,0.1206385155020563
0.9500000000000002,92.62433549478426,0.12824314786876542,101.84338656916432,0.1206385155020563
0.9750000000000002,93.1470093718052,0.13216617772310021,99.35026504963022,0.12587933710685956
