拦截率,好客户流失率,2015 净收益 $M,相对单阈值
0.2,0.05,88.3765656881723,0.11626220962349731
0.2,0.1,84.92255619554486,0.07263548303282086
0.2,0.2,79.01768589368265,-0.0019474510218231433
0.3,0.05,95.58728491948426,0.20733899360398356
0.3,0.1,92.21147625135002,0.16470000199105184
0.3,0.2,84.16341058242305,0.06304690541690272
0.4,0.05,101.4658093137547,0.28158915911536164
0.4,0.1,98.02734224821549,0.238158745018493
0.4,0.2,91.1504081171371,0.15129791682475635
