bin,n,bad,good,bad_rate,good_pct,bad_pct,woe,iv_part,var
"00: (-inf, 10000.0]",83088,12015,71073,0.144605719237435,0.5067448575808349,0.5384494734483531,-0.060686026433664206,0.0019240271566053834,loan_amnt
"01: (10000.0, 19000.0]",47183,6464,40719,0.1369984952207363,0.29032476560550424,0.28969303159309884,0.002178327166030036,1.3761233609278493e-06,loan_amnt
"02: (19000.0, inf]",32299,3836,28463,0.1187652868509861,0.2029410716195501,0.1719247143177235,0.1658589757752799,0.005144341254361086,loan_amnt
"00: (-inf, 31288.100000000013]",16257,3312,12945,0.203727625023067,0.09229973975972336,0.14844275151243558,-0.4751580502130351,0.02667680399750625,annual_inc
"01: (31288.100000000013, 40000.0]",19389,3435,15954,0.1771623085254526,0.11375352037360521,0.15395473896482187,-0.30262465069834116,0.012165879733814599,annual_inc
"02: (40000.0, 46500.0]",13177,2045,11132,0.1551946573575169,0.0793732843748886,0.09166479946224512,-0.14397659648358582,0.001769690507904238,annual_inc
"03: (46500.0, 54000.0]",17289,2534,14755,0.14656718144484931,0.10520480553277958,0.1135783105534394,-0.07658358060147172,0.0006412729966665287,annual_inc
"04: (54000.0, 60000.0]",15508,2151,13357,0.13870260510704152,0.09523724644397705,0.09641496751064306,-0.012290344756717829,1.4474597936574757e-05,annual_inc
"05: (60000.0, 70000.0]",18009,2316,15693,0.1286023654839247,0.1118926241488717,0.10380909701994175,0.07498609170391679,0.000606152106581041,annual_inc
"06: (70000.0, 80000.0]",15265,1840,13425,0.12053717654765804,0.09572207764429076,0.08247815370826798,0.14891551350231955,0.001972225733718493,annual_inc
"07: (80000.0, 95000.0]",15302,1599,13703,0.10449614429486341,0.0977041816691027,0.07167824333408021,0.30975709794116735,0.008061719129852344,annual_inc
"08: (95000.0, 120000.0]",16366,1641,14725,0.10026885005499206,0.10499090941499412,0.0735603853909926,0.3557671305490484,0.011181947343671948,annual_inc
"09: (120000.0, inf]",16008,1442,14566,0.09007996001999001,0.10385725999073117,0.06464261707371723,0.47414355601027386,0.01859337024034609,annual_inc
"00: (-inf, 7.2]",16308,1720,14588,0.10546970811871474,0.10401411714377384,0.07710060497423257,0.29941550454004706,0.008058322825187897,dti
"01: (7.2, 10.27]",16268,1770,14498,0.10880255716744529,0.10337242879041746,0.07934125028008067,0.2645801069197133,0.006358171779671623,dti
"02: (10.27, 12.62]",16237,1833,14404,0.11289031224979984,0.10270222095468967,0.08216446336544925,0.22311085292476646,0.004582196612897526,dti
"03: (12.62, 14.85]",16264,1913,14351,0.1176217412690605,0.10232433781326869,0.08574949585480618,0.1767173441659054,0.002929062050869109,dti
"04: (14.85, 17.05]",16254,2064,14190,0.12698412698412698,0.10117642864782005,0.0925162446784674,0.08948156397892504,0.0007749268059228894,dti
"05: (17.05, 19.33]",16232,2162,14070,0.13319369147363233,0.10032084417667819,0.09690790947792964,0.03461235096370098,0.00011812969360927794,dti
"06: (19.33, 21.83]",16278,2405,13873,0.14774542327067208,0.09891625966988699,0.10779744566435133,-0.08598033278707393,0.0007636073273479443,dti
"07: (21.83, 24.84]",16228,2504,13724,0.15430120778900666,0.09785390895155253,0.11223392336993054,-0.13710965326600946,0.0019716387908640257,dti
"08: (24.84, 28.65]",16247,2856,13391,0.17578629900904783,0.0954796620441339,0.12800806632310105,-0.2931800181650658,0.009536678157388193,dti
"09: (28.65, inf]",16254,3088,13166,0.18998400393749232,0.09387544116074294,0.13840466054223616,-0.3882129075328044,0.01728681772625559,dti
"00: (-inf, 1.0]",23627,3433,20194,0.14529986879417617,0.14398417168728386,0.15386511315258794,-0.06637295528332196,0.0006558272860337493,emp_length_yrs
"01: (1.0, 2.0]",14669,2038,12631,0.1389324425659554,0.09006096039356885,0.0913511091194264,-0.01422364543114162,1.835061803003686e-05,emp_length_yrs
"02: (2.0, 3.0]",13106,1813,11293,0.13833358766976958,0.08052119354033724,0.08126820524311001,-0.00923443707466039,6.898232563290114e-06,emp_length_yrs
"03: (3.0, 5.0]",18818,2570,16248,0.1365713678393028,0.11584970232790275,0.11519157517365002,0.005697067999409261,3.749395150035511e-06,emp_length_yrs
"04: (5.0, 6.0]",8205,1119,7086,0.13638025594149908,0.050525827956222596,0.050168048397938605,0.007106312258160646,2.5424932607528263e-06,emp_length_yrs
"05: (6.0, 8.0]",17077,2307,14770,0.13509398606312584,0.10531175359167232,0.1034057808648891,0.01826416466896918,3.4810999736532986e-05,emp_length_yrs
"06: (8.0, 10.0]",57422,7090,50332,0.12347184006130055,0.35886421161455917,0.31774591082231685,0.12169203548911325,0.005003769719261587,emp_length_yrs
MISSING,9646,1945,7701,0.2016379846568526,0.054910698370824566,0.08718350885054896,-0.46230699467008607,0.014919946022438641,emp_length_yrs
"00: (-inf, 662.0]",17339,3229,14110,0.1862275794451814,0.10060603900039214,0.14472328030472775,-0.3636112217024016,0.01604152400880913,fico
"01: (662.0, 667.0]",16449,2903,13546,0.17648489269864429,0.09658479198602546,0.13011427291059824,-0.2979917907631313,0.009991510064071694,fico
"02: (667.0, 672.0]",15839,2733,13106,0.17254877201843552,0.093447648925172,0.12249607887071477,-0.27067764530787675,0.007862760617550332,fico
"03: (672.0, 682.0]",26524,4257,22267,0.16049615442618007,0.1587643934262593,0.19079094779296438,-0.1837570135408088,0.005885103984428073,fico
