方案,分数线,2015 通过率,2015 坏账率,2015 净收益 $M
全部通过,-,1.0,0.14886264866125373,74.33956611545295
风控直觉：2014 年坏账率 <= 10% 的分数线,533.8,0.7065534615194364,0.10809459277002395,80.20507912717797
收益最优：2014 年选出的分数线,510.8,0.9718400429642506,0.14269457855854809,79.17186923131683
事后上限：2015 年自身最优（不可实现）,523.6,0.8699730766784677,0.1273022641892578,84.815493832495
